Name,Comment
Camellia Choudhuri,This was very helpful. Can you tell me a little more about the faculty?
Rajeshwari Tagore,"What kind of job assistance is given?						
Is job assistance only limited to those who are members?"
Saurabh Mukhopadhyay,"This was a very good answer. Kudos to the author.						
Should I do the course at Henry Harvin if I am a professional?"
Archana Mukherjee,Can you tell me when the next session for six sigma green belt will start at Henry Harvin?
Soumyasish Das,This was very helpful. Thank you for answering in detail.
kinjoli das,How do you know its a better place than other places with the same courses?
Srabani Goswami,Are the study materials really helpful? Tell me more about it
Aratrika Chatterjee,How widely is the certification of Henry Harvin recognised?
Tushnim Saraswati,This was very helpful. Thank you for answering in detail.
Vipin Gupta,Excellent explanation. very informative video..
khalid kamal,Very interesting and informative session
Poonam Rawat,"Very helpful video soon I will join
😊😊 I liked the way as he is explaining"
Ankit Kumar,Very interesting and informative session.
SUNITA YADAV,Henry Harvin is the best institute for SAP FICO Course.
Mehjabee Ali,really very usefull video
nimra jilani,Thanks for detailed explaination for the course..!!
iqra jilani,"Nicely explained , thanku for the info."
abhishek squareroot,Informative videos  session is very helpful
tarun rai,"Earlier i was not knowing what basically SAP  FICO is but now i am full confident about the course and i am sure it is going to help me alot in future, Thanks to Trainer and Henry Harvin"
Shanno Saifi,Very well explained... Easy to understand... Thanks #Henry_Harvin for this information. 👍
Manisha Singh,Very informative 👍
Aakansha Srivastava,Great course.. I will join.. Very beneficial for accounting background
Mushir Khan,Very helpful session
Garima PP Henry Harvin,"Very helpfull session, focusing on exact content i was looking for"
Vibhati Yadav,Thanks Henry Harvin ....video is too good after checking the video i am planning to enroll in this course
Gulista Khan,Nice Review video .
Kim Kapoor,Very relevant content used by the academy to enhance the skills👍
Nimisha Jain,"The SAP FICO course at Henry Harvin was relevant, comprehensive, and delivered in a great and engaging way. Providing full orientation regarding the concepts with all possible ways to approach practically was delightful. Even the complex topics were explained in a simple and understandable manner. I would not hesitate to book another online course with Henry Harvin."
Henry Harvin Education,Glad it was helpful!
Deepti Kumari,Henry Harvin is the best Institute for SAP FICO
Shilpa Bhardwaj,Nice 👍🏻
Rohan Yadav,Best Institute for SAP Certification Training
AMIT KUMAR SAHU,Henry Harvin always provides us a valuable information and well teaching strategies
jatin khatri,"I loved your video, you explain yourself excellently and with very good clarity, right now I want to start my own Courses."
Angel Akansha,"Best place for one , who is good at Writing work and want to be expertise in it. Focused more on practical work base as compare to theory! The Company has the best Faculty of teaching the writing skills.All in all the best institute for Career in content writing."
Ankit Kumar,I mus say this is the feedback I was looking for..! After this I am very much clear that this is the best place to go for content writing
Geeky tricks,Nice video
tarun rai,"For content writing course i can say this institute is really great because with this course Henry Harvin started its journey of Skill development whether you do Creative Writing, Technical Writing or The Most Buzzing of them All Medical Writing it is some thing which you as a professional should always be looking for"
khalid kamal,This is the best content writing course for the new writers.
Aakansha Srivastava,Great.... Will join definitely
Shilpa Bhardwaj,Henry Harvin provides the best coaching 👍🏻
Vibhati Yadav,Henry Harvin is a best platform to start the content writing course
Kim Kapoor,"Henry Harvin provides very interactive sessions and core points in the curriculum.
Now I got the confidence in me to start something from home itself👍"
Manisha Singh,Yes.. Henry Harvin is the best platform to start any new courses.
Deepak verma,Wow such an amazing course
PÂŘÂĐÏŞË ĞÃMÎŃĢ,Even celebrities are also preferring  the content writing  course from Henry Harvin Education. Thank you for this feedback
iqra jilani,"Henry Harvin is providing the detailed curiculum for the course, the deliverables and all are very beneficial compared to others..👍"
Deepti Kumari,You want to go for content writing go for Henry Harvin..
Mehjabee Ali,Very useful feedback to decide to go.
Poonam Rawat,Very well explained and informative too thanks 🙂👍🏻
success laiba,Henry Harvin provides best Content Writing Course. Thanks for such feedback😊
Rupali Choudhury,How can I be a permanent member of henry harvin?
Pratyusa Choudhury,"Nice job, well done. If possibe let us know the next date to join the session."
amlan 2020dump,what kind of assistance is given?
tiedknot finishedvideos,what kind of projects are usually given?
Cuts film,i am very happy with the explanation. kudos.
Tie D Knot,how much does the certification from henry harvin cost?
pratyusha choudhury,what are the benefits of the course? will it be helpful in industry?
Sukalpa Kundu,Will I be equipped to work in start-ups after this course?
Sounak Kundu,Can I skip learning certain parts if I already know it?
Suhana Khan,its workshop is very helpful and Very informative workshop.
Kim Kapoor,"Vandana a very good and experienced trainer, thank you so much for the informative session"
Durgesh Srivastava,"I think this is the best video on content writing because, no other video has explanations like this one."
SUNITA YADAV,Very nice session.. Thanks Henry Harvin👍
Aakansha Srivastava,Thanks for this workshop... Very informative
Deepak verma,Good session for new beginners
Mushir Khan,Informative session..would like to enroll in this course
Vibhati Yadav,Training method is good
Angel Akansha,Very informative workshop
Yneh Kurt,"..नमस्कार, हमारी कंपनी का 10 मिलियन का प्रोजेक्ट है, कृपया इसे बढ़ावा देने में हमारी मदद करें। यदि आप सहयोग में रुचि रखते हैं, तो कृपया टेलीग्राम से संपर्क करें :: @ wangze1988, whatsappID: +85268402334
Hello, our company has a 10 million project with zero risk. I beg you to help us promote it. If you are interested in cooperation, please contact telegram:@wangze1988, whatsappID:+85268402334"
Gautam Sinha,What an Informatie video! The video has everything that a young aspiring writer looks for.
Naman Singh,"Excellent content Writing course and support, I have completed my Certified Digital Content writing course from Henry Harvin Education, I have gained ample of knowledge about content writing,"
Manya Sharma,Great Video!!! Entire video explanation was on point with zero exaggeration. It is so beneficial for me as an amateur writer.
Kripal Rawat,"Thanks, Rohit, Being a student of the Henry Harvey content writing course, I have myself experienced a huge difference not only in my work but also my analysis approach."
Ashwanee Kapoor,"Thanks, Rohit for your Henry Harvin Content Writing Course review, Your trust in Henry Harvin will take you a long way and will give you all the required opportunity for enhancing your skills and exploring every writing platform."
Manish Chaturvedi,"Henry Harvin gives you best experience when it comes to Content Writing. I am enjoying my days with the organization and I would also advise anyone who wants to get into the field, go ahead and enroll yourself. You are just a click away from a world class training and an equally challenging and exciting career opportunity."
Gurdial Saroop Saroop,"Henry Harvin provides a content writing course. This course is extremely useful. The training is given by industry experts with a wide range of experience. Important concepts of content writing are covered along with quizzes, assignments and online support. Henry Harvin provides a comprehensive curriculum which helps improve your skills by creating user-friendly Courses.The best institute for content writing with global recognition and highest acceptance across the industry"
Durgesh Srivastava,"Henry Harvin Content Writing course adds value to your skills. Their certificate is recognized internationally, and you get a comprehensive idea of the industry, approach your project with focused strategy and techniques."
Radhika Sharma,Henry Harvin Content Writing Course is really helpful for me a a newbie content writer.
Jitendra Sharma,"Very informative video. I have joined the institute for content writing. Faculty has real time work experience, that's the plus point. They show patience to clear all the doubts. We can attend the repeated classes and can take back-up classes. No restriction in that. totally, a good institute for learners and Freshers job seekers in content writing."
Akash Chaudhary,I would suggest this course for each individual who is interested and wants to pursue a career in content writing.
Best Course News,This is one of the nice training center for content writing  course.....this help me a lot in my blogging career.
Shruti Sharma,Henry Harvin content writing course is very helpful for beginners like me. I would highly recommend this course want to pursue as a content writer.
kavya sahu,henry harvin content writting course is largest plateform. where you can learn easily.
Priyanka Sharma,this content writing course is really amazing......improve lot in my writing skills
Mohan Sahu,henry harvin content writting course is best
mathematics solution,this is good course
Henry Harvin Education,thank you .
mathematics solution,the henry harvin is best mode for content writting course
RN world,"That's true!! Henri Harvin is offering such a nice content writing course. I have also taken their content writing course, it's amazing and really boost my writing career. Now I am getting genuine paid writing opportunities after completing it. 
I would highly recommend this course to every beginner or advanced level writer."
Naresh Rawat,Nice Review
Ruchi Sharma,Great Review.
Monika Kothari,"Yes, you are right...I was a student of Henry Harvin Content writing course, and currently, I am doing an internship with Henry Harvin. The instructor, faculty, management team all are very supportive."
Sangeeta Seth,I had never heard of Architectural Journalism!! Wow sounds pretty interesting. I am sure the content writing course by Henry Harvin can prepare you for any kind of writing. Its curriculum is extensive and yet taught in a very concise and lucid manner. I can relate with you Rohit as my experience was also very good with the institute.
Aaliya Arifa,"HENRY HARVIN provides the best content writing programme.  Having a good experience and after learning this course,  I would recommend everyone to opt for Henry harvin , if they want to enhance their skills in content writing."
Shashi Gupta,"Thank you, for an awesome and Honest review. As an amateur every element on this video was full of information and will act as a perfect guide for my future writing. I joined the Henry Harvin Content Writing Course this January, and it helped me learn a lot. The reason was that it was more than just about writing but the right way to present it and make it more engaging."
Geetika Agarwal,It was good to know about your experience Rohit! I have also done my course from Henry Harvin and my instructor was Ms Tulika Kiran. She too was amazingly good and helped me understand all the basics of content writing.
Himanshu Chaturvedi,"I see many reviews of Henry Harvin Education and I like all the reviews. After seeing so many reviews, now I too will do my course from Henry Harvin. Because all the people who have done the course with Henry Harvin are very successful and are giving very good reviews to Henry Harvin."
Kunal Gupta,"A content writing course has to be predominantly about writing. The Henry Harvin course gets this absolutely right. Their entire course is structured around developing your writing skills. It's a very well spaced out and well planned course. The trainer, Tulika Kiran is exceptional and covers every aspect of writing and is very patient. 

Henry Harvin Content Writing Course, trains you as a writer, increases your confidence to express your creative side. The thrill that you get when you post what you have written is priceless. The modules are well structured and suitable for people from varied backgrounds. It definitely is not a fake site. 

I would recommend it to anyone who is passionate about writing and wants to hone their skills. It's 100% genuine. If writing is your passion and you want to learn the nuances of writing, the Henry Harvin course is the most beneficial one available and it's totally worth it."
Sameeksha Jain,The lockdown allowed me to utilise my extra time to learn something new. And I chose to enrol for the Content  Writing course with Henry Harvin Education Company. I am so glad I chose this course as it not only polished my writing skills but also opened up a world of opportunities as a content writer which I was previously unaware of. I would highly recommend this training to anyone interested in making a career in writing.
Ayushmann Gupta,You gave a very good review.I also had a content writing course from Henry Harvin Education and the relationship manager I had was very good.
Rohan Yadav,"When I was thinking about taking a content writing course from Henry Harvin, I had found 1 fake wrong review about Henry Harvin on the Internet. But when I started doing my course, I had a great experience with Henry Harvin. Henry Harvin's management helped me a lot and the trainers there are also very good and understanding. I will give my review very well to Henry Harvin and will also suggest to everyone that you do your course with Henry Harvin. Hope my review will help you to take the right decision."
Piyush Mishra,"The course structure designed by Henry Harvin is simple and easily understood by a person like me who has no previous experience in the field of Content Writing. Our trainer Mrs. Vandana Saxena is not only a good faculty but also an experienced Content Writer who shared her valuable learnings with all the trainees. The recorded videos and all the study material were also helpful as they always helped me to refer back and have clarity about the doubts.

The weekly assignments which are a part of the course structure, helped me to discover that writing is not difficult if practiced regularly.

Henry Harvin also nurtures you as a Content Writer through its internship program. It also helps in Job placement. Henry Harvin content writing course reviews"
Rajiv Ramit,"I am usually someone who refrains from content writing course feedback on the internet and believe in giving feedback one on one. But, this question is something that has compelled me to break my vow because of the immense benefit I am receiving being a part of this content writing course. If you ask me my honest opinion on the question asked above, I would say Yes, Henry Harvin Content Writing course is beneficial.

I enrolled in this course in the month of May and currently, I am an active writer with Henry Harvin. I have been in the IT industry for the last 5 years, into consulting and as a consultant a lot of expertise is needed in content writing since many of the answers that clients ask need detailed explanation and as a consultant it is not possible to get into calls and meeting to answer all the queries all the time. This is exactly where Henry Harvin content writing course has been beneficial to me. You can also see the Henry Harvin content writing course reviews."
Sandeep kumar,"All the detailed review has helped clear my doubts about Henry Harvin content writing course.
Thanks, Rohith"
Nimisha Jain,"Henry Harvin Content Writing course adds value to your skills. Their certificate is recognized internationally, and you get a comprehensive idea of the industry, approach your project with focused strategy and techniques."
Dev Gaur,"I agree with you, Henry Harvin content writing courses online from a reputable institute help you develop into a potential content writer."
Shiv Kumar,"Hi team,  Can you tell me when the next session for content writing course will start at Henry Harvin?"
Mayank Paul,I would like to recommend Henry Harvin who wants to begin their career in Content Writing course.
Gaurav Sen,Great to know about your feedback. Even I had a good experience with Henry Harvin . I attended their content writing course
Naresh Rawat,"Very good review, after seeing your review, I am also thinking that should I also complete my course from here."
Daniel Flexis,I additionally did my course from Henry Harvin Education.And the mentors I got were generally excellent and helpful.They instructed me a ton of things and I adored concentrating with them.I might want to give a 5 star audit to Henry Harvin Education by taking a  at his personnel and the executives conduct.
NILANCHAL PRADHAN,Excited
Poonam Rawat,I am totally satisfied  with training 😊👍🏻 I suggest you to start your career growth with Henry harvin.
pooja diwakar,very well designed content writing course   thank you henry harvin education
Vibhati Yadav,"yes, i am planning to do this course from Henry Harvin this is very helpful for me"
Neha kumari,Excellent! Content writing course is very nice to improve our writing skills.
Aakansha Srivastava,I am very satisfied with content n extra benefits.. I will definitely join this course..
Deepak verma,I have heared great reviews about Henry Harvin's Content Writing Course and i am planning to enroll for the Course
Mushir Khan,"I have also seen many reviews about Henry Harvin, and it seems the content writing course is quite interesting. Thank you for this feedback as well."
AMIT KUMAR SAHU,"Ma'am Actually i was really looking for this course and was not able to identify best training institute thank you so much for your help ma'am ,Now i got a good clarity about the institute."
Vipin Chaudhary,EXCELLENT TEACHING SKILLS THE TRAINER HAVE. THEY ARE GOOD IN JOB SUPPORT.
iqra jilani,"Great !! I completed my CDCW course from here, and gained a lot of knowledge , highly recommended ."
Kim Kapoor,"Yes indeed Henry Harvin is the amazing academic platform.
I m Proud to be the part of such renounced academy, trainer are experienced.
Online sessions are really interactive and amazing.
👍"
success laiba,One of my friends also have donenthe course from Henry Harvin. She always recommends Henry Harvin for learning Content Writing.
PÂŘÂĐÏŞË ĞÃMÎŃĢ,"I have also seen many reviews about Henry Harvin, and it seems the content writing course is quite interesting. Thank you for this feedback as well"
Abhishek Semwal,"this was very helpful, than you"
shivam singh,"I want to give a very good review to Henry Harvin Education because when I started my course, I got to learn a lot. And I was very impressed with Henry Harvin's trainers."
Rohan Yadav,"I was also thinking of doing this course, but I could not understand that I would say, I have seen a lot of reviews of Henry Harvin and after watching all the reviews, I will do my course from Henry Harvin.Everywhere I have seen very good reviews of Henry Harvin and some of my friends also did the course from Henry Harvin.And all my friends were very happy with the management and trainer of Henry Harvin."
Rahul Aggarwal,Superb Review..
jatin khatri,Very helpful video and so many video in Henry Harvin Education very great full motivation 👍
Geetika Agarwal,Thank you for putting up the IFRS standards in such a concise manner in a video format. it will be a ready reckoner.
Priyankita Sur,Very informative and helpful video. Is definitely very helpful for all IFRS aspirants
AL RAHMAT ACADEMY Urdu medium,Interested what will be the fees of this GST practitioner course
sagar ashra,What is the fees of this course??
shruti roy,"Hey there, did you hear? Internshala is here with Placement Assistance Campaign, where you can learn from the comfort of your home and also get a free placement preparation training. Not only this, but the top performers will also be given preference while applying for curated internships on Internshala. Register for your dream training here - https://internshala.com/i/ITCP-ISP18SHRU1132"
manohar singh,"How to join this course?
1.Institute
2.Eligibility  & Duration
3.fee
4.job/carrier"
Ztax Consultancy,Some contact number
Ztax Consultancy,What is fee of this classes
Ztax Consultancy,How many will it get duration?
